time,run_id,scenario,cycle,segment,phase,layer,item,axis,q,omega,accel,torque,carrying,source_file
171.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,7.38321641e-05,-0.000190436205,-0.000712840167,5.63139435,1,long_live_01.jsonl
171.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436173325,0.000517242421,0.00242755705,1708.14367,1,long_live_01.jsonl
171.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.226774595,-0.15642827,-0.611292776,860.113148,1,long_live_01.jsonl
171.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-1.44355828e-05,-2.55522426e-05,-5.10116447e-05,0,1,long_live_01.jsonl
171.4,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,-2.56972256e-06,-0.000112949337,0.000309947472,4.23306379,1,long_live_01.jsonl
171.4,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436308904,0.000267450241,-0.000999168721,1671.67188,1,long_live_01.jsonl
171.4,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.258732648,-0.0445335665,0.447578816,779.057821,1,long_live_01.jsonl
171.4,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-6.30248667e-05,-0.000220145005,-0.000778371049,-0.000127633396,1,long_live_01.jsonl
171.65,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,6.98056064e-05,0.0003951905,0.00203255935,12.5465772,1,long_live_01.jsonl
171.65,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436242275,-0.00105111519,-0.00527426172,1705.9579,1,long_live_01.jsonl
171.65,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.259435048,0.000936987118,0.181882214,879.612163,1,long_live_01.jsonl
171.65,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-2.00478846e-05,-0.000575900026,-0.00142302008,-0.000144719022,1,long_live_01.jsonl
171.85,long_live_01,S0,1,7,lift_before_pick,4,water_bundle_3,motor1,0.000108868545,-3.30213175e-05,-0.00214105909,2.37243967,0,long_live_01.jsonl
171.85,long_live_01,S0,1,7,lift_before_pick,4,water_bundle_3,motor2,0.434971155,-0.0330619816,-0.160054332,1934.81057,0,long_live_01.jsonl
171.85,long_live_01,S0,1,7,lift_before_pick,4,water_bundle_3,motor3,-0.260318479,-0.0138477951,-0.0739239113,903.791637,0,long_live_01.jsonl
